Id,Name
skp003127,Anna Rosina Fäsch^0^0^1749
skp014291,Friedrich August II^1696^1763^0
skp029504,Joseph Benno de Manino^0^0^1745
skp019521,Henriette Charlotte von Birckholtz^0^0^1750
skp001707,Adam Heinrich von Bose^0^0^1745
skp018769,Heinrich Friedrich von Friesen^0^0^1738
skp027735,Johann Georg Maximilian von Fürstenhoff^0^0^1745
skp007925,Christiana Maria Georgisch^0^0^1746
skp027493,Johann Christian von Hennicke^0^0^1741
skp007920,Christiana Dorothea Kleinhempel^0^0^1748
skp045937,_Unidentified_010584^0^0^1735
skp013677,Franz Albrecht von Schmiedel^0^0^1733
skp008114,Christoph von Unruh^0^0^1756
skp007510,Charlotte Elisabeth Winckler^0^0^1749
skp031888,Lodovico Anselmo Gualtieri^0^0^1719
skp011794,Enea Gaetano Melani^0^0^1752
skp016946,Giovanni Battista Salerni^0^0^1722
skp036391,Orazio Filipo Spada^0^0^1719
skp039139,Premierminister] NN [Reichsgraf^0^0^1749
skp042157,Th. Neder^0^0^1735
skp000450,A. Kraus^0^0^1753
